"RNF11,7.654541664,"
"OSBPL9,9.181184531,"
"BTF3L4,8.988404678,"
"ZFYVE9,6.677880557,"
"PRPF38A,8.083410687,"
"GPX7,8.587872924,"
"FAM159A,6.021189673,"
"ZYG11B,8.691421983,"
"ZYG11A,5.204129091,"
"SCP2,8.540828416,"
"PODN,10.04987026,"
"CPT2,8.982276282,"
"DMRTB1,7.216124329,"
"DIO1,4.925081292,"
"LRRC42,7.357648955,"
"C1orf83,6.999125788,"
"MRPL37,9.248894082,"
"C1orf191,6.030598605,"
"ACOT11,6.833365377,"
"C1orf175,6.413580944,"
"TTC4,7.384597715,"
"C1orf177,5.252031453,"
"TMEM61,6.68558481,"
"BSND,5.999298599,"
"PCSK9,6.820377224,"
"PRKAA2,6.607948944,"
"C8A,4.806168083,"
"FGGY,6.866760589,"
"HOOK1,4.665783713,"
"NFIA,10.75391208,"
"MGC34796,5.915753621,"
"INADL,6.554259273,"
"L1TD1,4.153905399,"
"USP1,6.708413817,"
"ANGPTL3,3.78764104,"
"ATG4C,7.626755923,"
"FOXD3,6.594887214,"
"ALG6,5.833681125,"
"EFCAB7,5.777242061,"
"DLEU2L,3.051233425,"
"PGM1,9.669739537,"
"ROR1,8.064829956,"
"UBE2U,3.709491932,"
"CACHD1,8.372637888,"
"RAVER2,7.038489381,"
"AK4,8.330071114,"
"DNAJC6,5.260974946,"
"LEPR,8.609160871,"
"PDE4B,6.704571481,"
"SGIP1,6.344704219,"
"TCTEX1D1,6.014864161,"
"MIER1,7.625210216,"
"IL23R,4.011632031,"
"IL12RB2,6.717799502,"
"GADD45A,6.557419788,"
"LRRC7,4.966628544,"
"PIN1P1,7.437490956,"
"SRSF11,10.85037506,"
"HHLA3,6.976403835,"
"CTH,6.207750761,"
"FPGT,7.47379226,"
"TNNI3K,4.690151137,"
"TYW3,7.520170841,"
"LHX8,5.144653842,"
"ACADM,9.355164025,"
"RABGGTB,6.94972255,"
"SNORD45C,6.627263837,"
"SNORD45A,11.16295016,"
"SNORD45B,7.504490886,"
"MSH4,4.650984879,"
"ST6GALNAC3,6.467778483,"
"TPI1,8.177853432,"
"ST6GALNAC5,6.012637986,"
"RPL17,10.54632831,"
"AK5,5.111336303,"
"FAM73A,7.678859287,"
"NEXN,7.152719352,"
